Corridas	R Agua	R Acetona	R MIC	E Agua	E Acetona	E MIC	Tag	mez AG	mez AC	mez MIC
1	87.37205902	11.41454511	1.213395877	3.262734828	31.94458421	64.79268097	S/F = 1.74	20.68	15.86	63.45
2	82.25173421	16.05340627	1.694859525	4.203003993	38.47026203	57.32673398	S/F = 1.09	27.14097497	20.8168643	52.04216074
3	82.25173421	16.05340627	1.694859525	3.753377424	36.48297652	59.76364606	164 RPM	27.14097497	20.8168643	52.04216074
4	82.25173421	16.05340627	1.694859525	4.203003993	38.47026203	57.32673398	412 RPM	27.14097497	20.8168643	52.04216074
5	85.74113159	12.93672156	1.322146846	3.262734828	31.94458421	64.79268097	705 RPM	27.14097497	20.8168643	52.04216074
6	56.9233018	34.79966186	8.277036344	4.047834667	20.48057159	75.47159374	Etapa 1	46.50112867	35.66591422	17.83295711
7	76.51946547	20.83857913	2.641955396	5.487306448	41.904573	52.60812055	Etapa 2			
8	90.3828101	8.466085221	1.15110468	3.348321256	26.62301522	70.02866353	Etapa 3			
										
										
										
	Refinado				Extracto					
		Agua frac	Acetona frac	MIC frac	Agua frac	Acetona frac	MIC frac			
		87.37205902	11.41454511	1.213395877	3.262734828	31.94458421	64.79268097			
		82.25173421	16.05340627	1.694859525	4.203003993	38.47026203	57.32673398			
										
	Refinado									
		Agua	Acetona	MIC	Agua	Acetona	MIC			
		82.25173421	16.05340627	1.694859525	3.753377424	36.48297652	59.76364606			
		82.25173421	16.05340627	1.694859525	4.203003993	38.47026203	57.32673398			
		85.74113159	12.93672156	1.322146846	3.262734828	31.94458421	64.79268097			
										
Refinado				Extracto						
	Agua	Acetona	MIC	Agua	Acetona	MIC				
	56.9233018	34.79966186	8.277036344	4.047834667	20.48057159	75.47159374				
	76.51946547	20.83857913	2.641955396	5.487306448	41.904573	52.60812055				
	90.3828101	8.466085221	1.15110468	3.348321256	26.62301522	70.02866353				
